meanB,meanG,meanR,modeB,modeG,modeR,batch,concentration,image,predicted_concentration
89.71947325565071,89.99132380312768,84.69873698820264,89.28822125508914,90.66487575554062,84.66342817487856,batch3,40.0,40.0-2_batch3.csv,36.07222358579526
83.20655377574371,82.81146221638853,74.06925723877467,84.66819221967964,83.53647102943934,75.53503986571549,batch2,1.0,1.0-5_batch2.csv,4.863815151176027
87.080876933423,78.17273670093874,95.019968503937,86.75184936112979,77.44747429593204,96.45669291338584,batch1,2.5,2.5-2_batch1.csv,-6.463478190979686
82.61120256718813,82.35572209093488,77.77623576691225,83.4336141195347,82.52197750259948,78.36570663094442,batch3,20.0,20.0-2_batch3.csv,6.885867166735352
91.30718100890206,91.12678530612246,93.29579682539683,87.24035608308604,90.91836734693878,94.44444444444446,batch2,50.0,50.0-2_batch2.csv,41.831032360126926
89.02785185185185,88.5906738962045,81.5649539295393,86.70033670033669,88.8845855925639,81.97831978319783,batch3,30.0,30.0-3_batch3.csv,27.901939867541785
87.47392364367047,77.8121215323646,92.08142713567837,87.40790354989953,77.2787318361955,92.33668341708542,batch1,2.5,2.5-5_batch1.csv,-8.527195321046975
93.10978442496132,88.07805312465557,104.41213721006208,94.89427539969056,86.30001102171276,105.84776216922576,batch1,40.0,40.0-2_batch1.csv,34.921709533153376
83.40487789046654,82.49312015245354,79.2259276450512,82.75862068965517,81.467365412101,79.86348122866893,batch3,20.0,20.0-1_batch3.csv,7.015000148211584
87.12688825865004,87.37940628730603,84.12411560693641,86.78389109472491,87.74373259052925,84.53757225433525,batch2,30.0,30.0-2_batch2.csv,26.95295744330258
83.34847602484471,82.70782708520179,72.72408712871287,84.96894409937887,84.75336322869956,74.85148514851485,batch3,0.5,0.5-1_batch3.csv,2.6249106452897877
93.3479438377535,81.89301995763185,99.12483284457478,97.76391055642226,84.29033337049839,102.63929618768329,batch1,1.0,1.0-5_batch1.csv,3.3570589651899923
91.39569601606962,81.89952873308188,98.40132562620423,93.40475393371274,83.8695362769026,101.15606936416184,batch1,8.0,8.0-5_batch1.csv,5.474311387687123
91.41398994277787,81.02319336891111,101.29674303405572,93.6362059996532,82.77506528897469,100.1031991744066,batch1,0.0,0.0-2_batch1.csv,8.980028350752718
85.23921577528729,82.16050197989644,83.6728488224867,87.6720102142148,84.06944867499239,85.08483160293744,batch3,2.0,2.0-3_batch3.csv,6.165863440122223
87.78162466739708,80.30328675308253,92.27439834759517,90.15495382688997,82.51659816629783,94.71820596046032,batch1,2.0,2.0-5_batch1.csv,-0.5461664167234517
89.21523546054702,81.70002897950734,89.98333071308257,90.53756680289216,82.90209066445871,90.9601347557552,batch1,0.5,0.5-2_batch1.csv,4.067235393520264
90.10520605355063,91.9777965260546,93.41183032873808,89.05704307334109,91.19106699751862,95.44008483563096,batch2,40.0,40.0-3_batch2.csv,46.34161601348819
91.57626278360989,86.0820803865583,98.71162570180911,92.4483576024382,85.9872611464968,99.18902058640047,batch1,25.0,25.0-3_batch1.csv,25.819046015523043
82.67369796785762,81.28358093063089,77.51958298061928,82.08261389294726,82.21524407650585,78.19113388282467,batch3,8.0,8.0-3_batch3.csv,1.7007633369917698
83.26438653001465,86.43404501607716,71.72464350453173,81.99121522693997,85.2090032154341,71.37462235649546,batch3,25.0,25.0-1_batch3.csv,20.323171647721892
85.47167351630979,81.45116557228005,78.72229720028714,86.21928437993964,82.73562986160219,80.40201005025125,batch2,1.0,1.0-4_batch2.csv,-0.9233238079082184
87.73548443665058,82.87484547394087,83.27279330459044,88.55765015344147,84.12069491008839,84.45346183109308,batch3,0.5,0.5-3_batch3.csv,6.095334758465697
87.65732810457517,82.07363913878498,83.5360885089263,88.8888888888889,81.87607399171131,85.24013075182297,batch3,2.0,2.0-2_batch3.csv,2.3187016101200015
95.7333167444272,88.89012484700122,104.20887074829932,96.42301710730948,89.12874151552242,106.89990281827016,batch1,30.0,30.0-1_batch1.csv,33.42764845866674
87.10825441116125,89.2844661782894,80.01702016916069,86.99220352892901,89.90581295785368,80.67664281067013,batch3,50.0,50.0-5_batch3.csv,32.19574542972805
84.55333520910602,83.0326498763623,75.27704835028015,85.17713262565546,84.89788442165033,76.57190288441586,batch3,5.0,5.0-1_batch3.csv,5.124445709903455
84.3738257875271,82.90589975349218,71.87521709875321,85.7033541640097,84.63434675431388,73.02592519295467,batch3,0.0,0-3_batch3.csv,3.0706747257659117
86.31172271081222,83.50593500738553,76.324696534235,88.46352819451631,85.57976366322009,77.97971259509721,batch3,0.5,0.5-2_batch3.csv,5.750052853707018
86.04960632225963,83.86723928901675,79.85029373336559,86.93106980828334,85.07140655501901,80.57101379143481,batch2,15.0,15.0-3_batch2.csv,10.644369035918487
91.04237037037036,92.36733410017777,89.87816141429668,89.2458723784025,90.34821708668828,91.46810146041506,batch2,40.0,40.0-4_batch2.csv,45.16222624728607
84.42474128058302,82.19718326545724,72.94478955954322,84.33107756376886,82.469455757127,74.63295269168026,batch3,0.0,0-4_batch3.csv,-0.4489392940767516
89.1191107368421,87.66601950931128,83.98077029278743,87.57894736842104,86.9051138043157,83.5515353487265,batch2,25.0,25.0-3_batch2.csv,26.714672622910086
88.66349889980928,82.3403500050932,84.49078376308398,90.65571365703389,83.42670877050016,85.77993362267041,batch3,2.0,2.0-1_batch3.csv,3.7304777476678055
85.4058427972028,83.16484824120603,82.74287407407407,84.75524475524476,83.21608040201005,82.96296296296296,batch2,5.0,5.0-2_batch2.csv,10.423731811968196
92.35540673339399,93.97431809563935,90.25667920691407,91.901728844404,94.7967137139246,91.5099135739705,batch2,50.0,50.0-4_batch2.csv,51.612840432821486
